municipio,juros,salarios,terras,transporte
Affonso Claudio,"Nao ha operages de.credito. =3- jacaranda, canella, etc.","Um trabalhador rural ganha 1$500 por dia, com comida ; nao ha administradores nem escrivaes de fazenda; carpinteiro, 5$000 a 7$000.diarios; nao ha cozinheiros ; as lavadeiras lavam por contractos cumpridos.","Qualidades -O municipio limita-se: ao Norte, com os munici pios de Santa Thereza e Linhares ; ao Sul ; com o de Cachoeiro de Itapemirim; a Leste, com o de Sauta Leopoldina e Santa Izabel ; e a Oeste, com o municipio de Rio Pardo e comarca Marechal Hermes. Suas terras podem ser assim divididas : boas em Taquaral, Bom Jesus, Laranja da Terra, Lagoinha, Empossado, Firme, etc.; regulares en S. Domingos, Boa Sorte,Tabócas,Barro Encoberto,etc.; inferiores em Cachoeira de S. Domingos e Santa Joanna ; argillosas nos valles dos rios. Nao sao arenosas,porém misturados em quasi todo o municipio; planas a leste do municipio, montauhosas nas outras partes e pedregosas em todo o municipio. Sao seccas nas elevages ; nao ha pantanos. Existem mattas virgens na maior parte do muncipio. Ha poucas capoeiras. Nao ha cerrados, carrascas nem campos naturaes. Precos- Um hectare de terra custa : do Estado, de 2$000 a 10$000 e de particulares, de 15$000 para cima.",Os transportes sao geralmente feitos pelos proprios pro ductores. A exportacao é feita por Santa Leopoldina a razao de 100 réis por kilo.
Alegre,Taxas de 9 a 12 % annuaes.,"Trabalhador rural, 1$000 a 2$500; cozinheiro, 15$000 a 30$000 mensaes; lavadeira, 10$000 a 25$000 mensaes; carpin- teiro, 5$000 diarios; administradores de fazendas, 100$000 mensaes; nao ha escrivaes de fazendas. Os salarios sao pagos","Qualidade - Boas e regulares na maior parte; poucas inferiores, muitas argillosas e arenosas e poucas misturadas. Geralmente montanhosas, e poucas as planas, e pedregosas. A vegeta- cao é representada por muita matta virgem, capoeiras e muitos campos. Nao ha cerrados nem carascaes. Precos-Um hectare de terra ba custa de 20$000 a 30$000, conforme asituacao.","Ao mercado local pagam,de 500 a 2$000 por 15 kilos, conforme a distancia e de 50 a 500 réis, conforme o meio de conduccao, estrada de ferro ou tropa."
Alfredo Chaves,A taxa é de 12 % ao anno.,"Trabalhadör rural ganha 1$500 a 3$000 ; nao ha administra dores nem escrivaes de fazenda; carpinteiro, 3$000 a 4$000 Os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio podem ser assim dividi das: boas em Batatal e Sao José de Curityba.; regulares em Mathilde, Carolina e S. Beruardo ; argillosas em Mathilde ; em Araguaya; misturadas em alguns logares ; plana arenosas em pouca quantidade, em Batatal; montathosas, na maioria; pedre- gosas, em diversos pontos ; séccas, em Todos os Santos, e nas divisas de Guarapary ; ha mattas-virgens em S. José de Guaratiba e em Limao,nas divisas de Guarapary; ha capoeiras e campos ; nao ha cerrados nem carrascaes. Precos-Um hectarc de terra custa de 2$000 a 10$000, con- forme o valor estimativo.","De 10 a 30 réis por kilo, conforme a distancia; de A1 fredo Chaves a Mathiide, ponto de embarque, pagam 500 réis por kilo."
Benevente,Nao usam d'estas transaces.,"Trabalhador rural ganha 2$000 diarios; nao ha administra dorcs nem escrivaes de fazenda; carpinteiro, 6$000 diarios; cozinheiro, 20$000 mensaes; lavadeira, 5$000 mensaes ou 40 réis por peca. Os salarios sao pagos e os contractos cumpridos","Qualidades-Boas em Alto-Jaebo, Cachoeira Alta,Corindyba e outros logares ; regulares em Dous-Irmaos, Camello, Jaba- quara, Jacutinga, etc.; iuferiores em Picao, Airiry, Mao Boa, e todo o 1ittoral; argillosas em Alto-Jaebo e Cachoeira Alta ; arenosas em Ubü, Icarahy, Iriry e quasi todo o littoral; mistu- radas em Dous Irmaos, Canella, Jabaquara e nos valles dos rios; planas em Ponta dos Castelhanos e Mae Boa; monta- nhosas e pedregosas em quasi todo o municipio ; pantanosas em Salina, Araquoro, Jabaquara, etc. A vegetasao é representada por mattas, muita capoeira, cerrados, campos naturaes e artificiaes. Precos - As do Estado custam de 2$000 a 10$000 o hectaree as de particulares de 10$000 a 25$000.","TRANPORTES-Para o mercado 1ocal,o transporte 6 feito pelos proprios productores; do porto de Benevente a Capital, um kilo de mercadorias ou um litro de cereaes paga 133 réis."
Cachoeiro de Itapemirim,Taxa de 10% ao anno.,"Trabalhador rural, de 1$000 a 3$000 por dia ; administrador de fazenda,1:200$000 annuaes; nao ha escrivaes de fazenda ; carpintciro, de 100$000 a 200$000, mensaes, com comida; cozinheiro, de 20$000 a 90$000 mensaes; 1avadeira,10$000 a 30$000 mensaes. Os salarios sao pagos e os contractos","Qualidades- As terras do municipio podem ser, mais ou menos assim divididas: boas em grande parte nos..valles dos rios Itapemirim, Salgado, Castello, Fructuoso e Muquery; regulares no restante dos mesmos valles ; inferiores em Sao Philipe, Santo André, Monte Christo, etc ; argillosas nos valles dos rios acima Alegre, Morro Grande, etc., misturadas nalgumas fazendas do Prata e do Bananal. O municipio é geralmente montanhoso. séccas as vertentes do Itapemirim e, principalmente, de Cacho- eira até Castello; pantanosas na parte comprehendida entre os ribeiroes Salgado e Muquery. Ha grande extensao occupada por imattas virgens; ha capoeiras nos logares abandonados; nao ha cerrados, nem carrascaes ; encontram-se alguns pastos bem tratados. Precos - O Estado vende o hectare de terra a 2$000 e os particu lares dao-lhe valor estimativo.","O preco de transporte varia de 500 réis a 1$800 por sacca, conforme a distancia e meios de transporte."
Cariacica,A taxa é de 10 % ao anno.,"Um trabalhador rural ganha 2$000 diarios, sem alimentagao ; nao ha administradores e escrivaes de fazenda (a Fazenda Modelo tem um administrador que ganha 300$000 mensaes, livres de despezas); carpiuteiro, 4$000 a 5$000 diarios; lavadeira, 10$000 a 30$000 mensaes ; cozinheiro, 45$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades --- As terras do municipio sao em grande parte infe riores, boas e regulares; em menor parte estas terras sao quasi todas misturadas. Dellas, ha parte plana e parte mantanhosa. A vegetacao é representada por muitas capoeiras, cerrados e algumas mattas-virgens. Precos---Um hectare de terra do Estado custa de 2$000 a 10$000 ; de particulares, de 10$000 e mais.","Pagam ; de transporte ferro-viario, 120 réis por uma arroba de café, para Victoria; e de trausporte fluvial,60 réis por litro, até Victoria; para o mercado local o preco varia de conformidade com a distancia,"
Conceicao da Barra de S. Matheus,Nao ha emprestimos.,"Trabalhador rural ganha 1$500 a 2$000 diarios, a secco ; nao ha administradores nem escrivaes de fazenda; carpinteiro, 3$500 a 5$000 diarios; cozinheiro,10$000 a 15$000 mensaes;lavadeiras 5$000 a 10$000 mensaes. Os salarios sao pagos e os contractos,","Qualidades -Sao boas em Ituanas, S. Domingos, Angelim e Mucury; regulares, perto do littoral; inferiores, no littoral; misturadas na maior parte : argillosas nos valles de todos os rios, e arenosas no littoral ; planas e enxutas em sua maior parte. A vegetagao é representada por magnificas mattas virgens, cobrindo a maior. parte do municipio. em todo o Norte e Oeste ; capoeiras, cerrados e campos nos valles dos rios Itaunas e Muriricü. Precos-Um hectare de terra do Estado custa de 4$000 a 10$000 ; de particulares,10$000 e mais.",Para o mercado local sao feitos pelos proprios produ ctores ; para fóra do municipio variam muito os precos.
Espirito Santo,Nao ha taxa estabelecida.,"Trabalhador rural ganha 2$000 por dia; cozinheira, de 15$000 de fazendas. Os salarios sao pagos e os contractos cumpridos.",ha muitas montanhosas. A vegetaqao érepresentada por poucas sendo estes situados perto do littoral e dos rios Morrinho e Jucú. Precos - O hectare de terra ba custa 5$000 e mais.,"No geral os transportes sao feitos,pelos proprios pro ductores, em carros ou animaes."
Espirito Santo do Rio Pardo,"Taxa de 9 a 12%,ao auno.","Trabalhador rural gauha 800 réis a 2$000 diarios; nao ha administradorés nem escrivaes de fazenda; carpinteiro ganha 4$000 diarios; cozinheiro, 20$000 meusaes; lavadeira, 10$000 mensaes. Os salarios sao pagos e os contratos cumpridos.","Qualidades-$a0 böas todas as terras do muuicipio, com excepaao das zonas a margem do rio do Norte, que sao um pouco seccas, mas nao completamente inferiores ; ha grande porcao de terras argillosas, arenosas e misturadas. Poucas planas; sao monta- nhosas na maior parte e ha muitas pedregosas. A vegetagao é representada por muita matta-virgem, capoeiras e patos, etc. Precos -- Um hectare de terra ba custa de. 12$000 a 15$000, mais oumenos.","Os transportes para o mercado local sao feitos a 10 e 20 réis por litro ou kilo. Em tropas pagam de 20 a 100 réis, conforme a distancia."
Guarapary,Nao ha prestanistas.,"Trabalhador rural, 38000 diarios. Não ha administradores nem escrivães de fazenda; carpinteiro, 68000 a 88000 diarios ; cozinheiro, 105000 a 208000 mensaes; lavadeira, 108000 a | em Março,| Abril, Setembro 208000 mensaes. pridos. | Trabalhador rural, 28000 a 25500 diarios, a secco; não ha administradores nem escrivães de fazenda ; carpinteiro, 38000 a 49000 diarios ; cozinheiro, 30$000 mensaes ; lavadeira, 108000 mensaes. Os","Qualidades - Boas na zona do rio Grande e outros logares regulares cm Jaboty, S. Miguel, Iguape, etc,. inferiores em quasi toda a faixa que acompanha o littoral, na extensao de 12 kilo- metros ; argillosas nos rios Maxindre, Jacque-s6be e Iguape ; arenosas, parte no littoral e parte em Todos os Santos; mis- turadas em quasi todo o municipio; planas em Iguape, littoral e nos pequenos planaltos; montanhosas, pedregosas e seccas em quasi todo o municipio ; pantanosos junto a alguns rios ; em mattas-virgens na Bahia-Mór, Jaboty, Jacque-sóbe e rio Gran- de; em capoeiras e cerrados, talvez dois tercos do municipio ; carracaes e campos nao ha. Precos-Pertencentes ao Estado custam de 3$000 a 10$000 o hectare ; ä particulares de 15$000 a 20$000 o hectare.","Do porto de Guarapary a capital custa o trausporte de um kilo de cereaes, 20 réis. Ao mercado local os transportes sao feitos, quasi na totalidade, pelos proprios lavradores."
Itapemirim,"A taxa é de 12 %, ao anno.","Trabalhador rural, 2$000 a 2$500 diarios, a secco ; nao ha administradores nem escrivaes de fazenda ; carpinteiro, 3$000 a 4$000 diarios ; cozinheiro, 30$000 mensaes ; lavadeira, 10$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades -Este municipio comprehende cerca de 4.900 kilometros deterrenos,que se prestam,na maioria, as culturas de canna e cereaes. Sao bas as terras de brejo dos Patos, Muquy e Agua Preta; regulares as de Paineiras e valle do Itapemirim ; inferiores, as de Candeos e Costas do Mar ; argillosas em maior parte; algumas misturadas ; platias em todo o valle do Muquy e do Itapemerim; pedregosas em trecho reduzido, conhecido por Garrafao; moutanhosas em pequena parte; enxutas em algumas partes e pantanosas em outras. A vegetagao é repres- entada por muitas mattas virgens e capoeiras, pelos cerrados carrascaes nas proximidades da costa. $ Precos-Saovariaveis.","Para o mercado 1ocal sao feitos pelos proprios pro ductores; pelos transportes fluviaes, pagam 10 a 30 réis por kilo; pelos maritimos, pagam 20 a 40 réis."
