municipio,juros,salarios,terras,transporte
Acarahu,Os agricultores.nao. se oneram com juros; os criadores pagam de1a 1 /°ao mez.,"Um trabalhador ruralganla darianente,a secco,1$000 a 1$200; comcomida 5oo a.6oo r&is;uma cozinheira 10$000 mensaes;as 1avadeiras cobran2o réis por.peca; um carpinteiroganha 2$000 a 2$500 diariosnao ha administradores,nem escrivaes de fazendas. Os.salarics sao pagos e.os contractos cumpridos.","Qualidades-Ha terras boas nas margens do rio Acarahü, nos baixios e vazantes dc rios e riachos. 'Terras inferiores sao encontra- das geralmente no littoral; destas algumas ha, que podenm ser cultivadas com vantagem, quando ha bcns invernos. As terras, en geral planas, sao, ora arenosas. ora argillosas; poucas.sao pedre- gosas e muitas seccas. Nao ha mattas, existe grande porcao de capoeiras; na maioria dos campos ha boa vegetacao. Precos -- Uma braca (1o palmos) de frente por meia legua de fundos custa 10$000, tmais ou menos.",Os precos de transporte sao muito variaveis.
Aquiraz,A taxa de18a.24% ao anno.,"Um trabalhador rural ganha 1$000 diarios, sem comida; nao ha administradores nem escrivaesde fazenda;um carpinteiro ganha 3$000.diarios;um cozinheiro,de5$000a10$000 mensaes;as lavadeiras cobram por peqas. Os'salarios sao pagos e os.contractos","Qualidades -O municipio tem terras de toda a sorte, böas, regu lares e inferiores. Argillosas, areaosas, misturadas, pedregosas, pantanosas, séccas, etc.; predominando, porém, as terras.arenosas e planas. A vegetacao é representada por capoeiras, carrascaes e campos. Precos-O preco das terras é muito variavel.(Vide nota TRASPORTE--Pagam de transporte,para Fortaleza, capital do Estado, em tropas, 2o réis, por litro de cereal, numa distancia de 4 leguas, e para o nercado local 22 réis, para uma distancia de cinco leguas.",
Aracaty,A taxa éde1ao mez.,"Trabalhador.rural,2$000d1a110s.nao ha adninistradores nem cscrivaes de fazenda; carpintciro, 5$000 diarios; cozinheiro, 10$000 a 20$000 mensaes; lavadeiras, lavam por peca, a razao de 2o réis. Os salarios sao pagos e os contractos ctumpridos.","C Qualidades - Ha boas em .Cambe, Beirada, Corregos de Gravata, Jacuruta do Coronel, Retiro, districto de Areias, ctc.; regulares, na zona das catinga$ arenosas,vizinhas.do nunicipio de Cascavel; inferiores, as de carnaubaes..Quasi todo o municipio é plano c secco,tendo partes arenosas, argillosas e.nisturadas; as terras.sao pedregosas.em,pequena quantidadle, no CabreiroA.vegetacao.ê representada por muitas capoeiras e carrascaes, poucos cerrados, e campos nas margens do rio Jaguaribe e Pirangi. Nao ha mattas virgens. Ha vastos carnaubaes nas terras do municipio representando grande fonte de renda. Precos - Uma braca de frente, por tantas bracas de fundo, em sitios de canna custa mais ou menos 50$000de outras terras,vende-se a braca por 2$000 e 10$000,quando tem carnaübaes e fundos dle meia legua.","Para o mercado localum litro de cereaes pagade trans porte.15 réis. De Aracaty para Fortaleza um kilo de mercadoria agricola paga 2o réis; para Pernambutco, 30 réis e para o Rio de Janeird,6o réis."
Aracoyaba,112a212ao mez.,"$- Um trabalhador rural ganha 1$500 por dia. Nao ha adninistra dores nem escrivaes.de fazenda;um carpinteiro,4$000 diarios; um cozinheiro, 4$000 mensaes; layadeira, 20o réis por pega dc roupa.Os salarios.sao pagos.e os.contractos cumpridos.","Qualidades --Boas, principalmente nas margens do rio Aracoyaba ; ..regulares, ha em grande.quantidade, em diversos pontos ; inferiores, . .. priucipalmente nas margens do rio Xoro. Argillosas, principalmente ..: .....as do Serrote e parte da zona sertaneja; arenosas, em quasi toda a zona sertaneja e nas margens dos rios.Aracoyaba, Candeia e ..- ...ue. ficam a margem direita do rio Xoró e na chapada da lagoa de S.Joao; montanhosas nos seguintes pontos: Serrote.Preto, juno a Pedra Aguda (monolithode mais de 4oo metrcs de altura, situado a margem direita do riacho da Pedra), Serrote do Tamanco e Serrote do Sereno; pedregosas, em grande parte, nas margens dcs riosAracoyaba e do Xoro seccas,en quasi todo o municipio nao ha pantanos; existe uma pequena parte em nattas virgens nos logares Barreiros de Baixo,Pedra Aguda e em.terrenos devo- lutos ha grande parte em capoeiras,existindo poucos cerrados e muitos carrascaes. Nao ha campos propriamente ditos. Precos--Um hectare de terra boa, regula de 200$000 a 300$000, preco exagerado porque ha precos muito inferiores a estes.","O agricultor paga quatro réis por litro de cereal, transpor tado para o mercado local. Os cereaes para Fortaleza, pagam de frete, 11 réis por litro e o algodao, 17 réis por. kilo."
Araripe ou Brejo Secco,"Variam de 1o""J,12 e até 18"""" ao anno.","Lavadeira 3$000 a 4$000 mensaes; carpinteiro 2$500 a 3$500 diarios; trabalhador rural 70o reis a 1$500 dliarios.Nao ha cozi nheiros, administradores, nen escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades - No geral boas, havendo algunias regulares e pcucas inferiores.Ha isturadas,argillosas e arenosas. terreno monta nhoso e secco cm geral, existindo, comtudo, terras planas e algutuas pedregosas e_pantanosas. A vegetaqao e representada por muitas capceiras, alguns car- rascaes e poucos canpos e mattas virgens.Nao ha cerrados. Preqos-Um hectare dc tcrra böa custa 30$000 a 50$000, mais ou nmenos.","Os cereaes pagan, approxinadamente, 4 réis por litro e por legua de caminho."
Arneiroz,"2°"" ao mez.","Trabalhador rural,.$000d1a110s cozinleira G$000mena0s lavade:ra 20 réis por peca de roupa; carpinteiro 2$000 diarios; nan ha administradores, ncim escrivaes de fazenda. Os salarios s&o pago: e os. contractos cumpridcs.","Qualidades-Ha terras boas na serra da Catharinaregulares,a beira dos rios, riachos e adjacencias das lagóas e acudes ; inferiores, na maior parte do municipio quasi todas sao argillosas,havendo aigunas arenosas. Misturadas, sao as da serra da Catharina, as dos baixics e dos ribeires.Ha poucas planas c muitas montanhosas. Existem mattas s6 nas serras de Dentro.Araripe e Olhos d'Agua. Ha muita capoeira e carrascaes; poucos cerrados e campos Precos--Uma braca de frente,por 1 legua de fundo,1$500","Para o mercado local, pagam mais ou menos 6 réis por litro de feija ou de milho; para a cstacao de Humayta, 5$000 por carga de seis arrobas."
Assaré,1UROS-A taxa usualde2aoimez.,"S.ALARIO$-- O trabalhador rural, 1$000 diarios; cozinheiro, 4$000 mensaes. carpinteiro.3$000 diarios,lavadeira,2oreisporpeca.Nao ha administradores nen escrivaes de fazenda.Os.salarios sao pagos","TERR.AS-Qualidades-O solo emuito montanhoso.secco cm lxoa cxtensao e em geral, argilloso e pedregoso. Nao ha pantanos. A maior parte do mumicipio é de terras inferiores,excepto as tcrras da serra do Quinconca. que sao tidas como.as melhores do Assar& c as marginacs aos rios,acudes c lagaas,que sao consideradasa como reguiares.Cs terrenos da serra dos Bastioea tambemnao sao maos. As ribeiras dos rios,e em parte,as tcrras que constitucmchapal das serras doAracaMucunanedaLagoa.saoarcnosasasda serra do Quinconca e as adjacentesas laigoas cacules, sin misturadas. A vegetacao e representada cm granaie parte por capoeiras. cerrados ccarrascaes.Ha tanhem alguns canpos ribeira dorio Sao Miguel. Precos--Um hectare de terra boa 0uata250$000nus ha prccos hem inferiores a este.",Una carga de12olitros de crcadoriasagricols.pga 6$000 para ser conduzida a estacao de Iguatu.
Aurora,A taxa commum é de 2°ao mez.,"diario,.inensal empreitadas. BIBLIOTECA E 00ALCO0L SLRIOS--Traballhador rural $500 a 2$000 diarios:nao ha administradores nen cscrivaes de fazenda: carpinteiro, de $500 a 3$500 diarios: cozinhciro,nao ha;as donas de casa geralmente fazen a cozinha lavadcira,de 5$000 a 8$000 mensacs.Os salarios sao pagos e os","qualidades--Em sua maioria boas; c na maior partemisturadas, planas e scccas cxistindo en menor numero,regularcs e inferiores argillosas c montanhosas e pedregosas. A vegetacao € representada por capoeiras c campos. Preco -- Um liectare de terra böa custa de 30$000 a 50$000, mais ou metos.",Um litro de mercadoria agricola regula pagar 4 réis por legua conduzida cm tropas.
Barbalha,A taxa é de I / a 2% ao mez.,"Um trabalhador rural ganha 7oo réis diarios, com alimentacao e 1$200 sem alimentacao; nao .ha administradores nem escrivacs de fazenda; um carpinteiro ganha 2$000 a 3$000 diarios; uma cozinheira, 3$000 a 10$000 mensaes; as lavadeiras cobram 40 réis por peca de roupa lavada, dando sabao. Os salarios sao pagos c","Qualidades-Ha terras boas, regulares e inferiores;. argillosas, arenosas e misturadas; no geral sao planas, excepto na serra do Araripe, onde sao pedregosas. Sao seccas nas chapadas; os brejos desapparecem no verao.Nao ha mattas virgens; um terco talvez, da area total é occupado por capoeiras; sao.poucos os cerrados; nao ha carrascaes nem campos. As catingas occupanm talvez uma quinta parte da area .total. Precos - Muito variaveis. No logar denominado Brejao, os proprieta-- rios pedem por uma tarefa de 25 X 25 bracas de terra superior, 5:000$000 a 6:000$000; em outras regies mais seccas custam de 1:500$000 a 3:000$000. Estes precos sao exagerados e muito excepcionaes; os precos correntes sao baixos. O que faz aqui o valor dessas terras,tao caras, é a agua que nao falta, fornecida pelas.fontes perennes. Infelizmente as terras nessas condices occupan areas reduzidas.","Pagam pelo transporte feito em tropas, por uma carga de 12o kilos,1$000 para a cidade do Crato n'uma distancia de 12 kilometros; 2$000 para a cidade de Jardim n'uma distancia de 35 kilometros e 1$000 para Joaseiro n'uma distancia de 12 kilometros. Para o mercado local o transporte varia de accordo coma_distancia."
Baturité,24% por cento ao anno.,"SYSTEMA de trabalho do pessoal agricola- Salarios diarios,mensaes c em- preitadas. Cozinheira, 3$000 a 12$000 mensaes; lavadeiras cobram por pecas carpinteiro,4$000 a 6$000 diarios; administrador de fazenda,70$000 a 200$000 mensaes; escrivaes de fazenda nao ha. O salario do trabalhador rural, seja colono ou canarada é de 1$000 a 1$200 diarios.O colono é nacional.","Qualidades-Os terrenos sao, en geral, constituidos de uma camada aravel,de natureza argillo-silicosa e de sub-s6lo argilloso. O muni- cipio divide-se em duas zonas perfeitameute caracterizadas: a zona do sertao ou pastoril, formada por terrenos planos e ondulados, cobertos pelas catingas; e a zona serrana ou agricola, constituida pelos terrenos accidentados da serra de Baturité, que sao revestidos de mattas ralas e capoeiras. Actualmente a vegetacao dos mattos que forimam as catingas, esta em estado latente, completamente despida de verdura, as arvores parecendo, a primeira vista, conpletamente seccas mas brotando rapidamente e cobrindo-se de verdura. Entre as catingas apparentenmente seccas, da zona sertaneja, encontran-se muitas arvores isoladas, que desde muitos annos resistem perfeitamente as seccas, que assolam csta regiao, ostentando sempre con grande exhulerancia vasta copa de folhagem verde intenso. Precos Custa um hectare de terra boa, approximadamente, 30$000; plantada de manicoba, cafe, canna e outras culturas,os precos. va riam de 100$000 a 200$000.","Pagam 13 réis de Guaramiranga ao mercado local (extensao de ro kilometros).Da estacao ferro-viaria para Fortaleza pagam por kilo de cereaes, 13 réis ; de borracha ou café, 21 réis; de algodao, 19 réis. Em tropas, dentro do municipio, 13 a 40 reis por kilo."
