municipio,juros,salarios,terras,transporte
Agua Branca,Nachacmprestimos.,"Trabalhador rural,1$000 diarios;nao ha administradores,nem escrivaesdefazenda; carpintciro,3$000diari0s cosinheira. 8$000 mensaes; lavadeira e paga por peca, a razao de :4o r&is a duzia.Os salarios sa pagos e os contractos cunpridos.","Qualidades-As terrassao boas ensua maioriaasdas scrras sao argillosas, desde o pé da serra até cm cima ; montanhosa só na parte serranao restante éplano.Ha algumas terras pedregosas para o lado do rio S.Francisco,c em caninho para Piranhas,havendo tanmben na catinga algumas arenosas,especialnente margem das estradasderodlagem.Nainamattasvirgens,cntretanto cncontram-se cerrados, e grande quantidadeie capociras no caminlo de Paulo Affonso, assinm cono alguns campos. Precos--Umhectarede terra.nas serras,custa100$000.","Feito por tropase carroslebois.ctc.regula dc 1$000 a 6$000. por carga de 16o litros ; para o mercado 1ocal custa a carga. 50o reis. Para a estacao da Pedra, 1$000; para Piranhas. 2$500; para Curral dos Bois(Bahia).3$000;para Tacarata(Pernam- buco),2$500, c para Floresta (Peruanubuco},6$000."
Alagoas,Nao é commumm o emprestimo agricola,trabalhador rural ganha de 1$000 a 1$200 por dlia cosinhcira de 8$000 a 12$000 mensaes;lavadeira2ooréispor duzia depecas; carpinteiro. 2$s00 por dia; nao ha escrivaes.nem administradores de fazenda. Os salarios sao pagos e os contractos cumpridos.,"Qualidades-As regioes banhadas pela.lagoa Manguaba c pelo Oceano sao planas e em grande parte baixas e sujeitas aos alaga- nentos nos invernos rigorosos; esses terrenos sao na maioria arenosos c misturados; a parte central e, en algumas regioes, accidentada e os terrenos argillosos, misturados e geralmente bons e regulares. Existem alguns pantanos,principalmente a margem dos rios. Sao ainda abundantes as mattas existentes,muitas as capoeiras, cerrados e carrascaes e poucos os campos. Precos-E'muito variavel.","Para o mercado local paga-se 1$000 c 2$000 por carga de 120 a 15o kilos. Para Macei6, cm cana, o assucar paga por sacco, 300 réis."
Anadia,A taxa é de 24 °ao anno.,"Trabalhador rural, 1$000 diarios; nao ha administradores nem escrivaes de fazenda; carpinteiro, 3$000 diarios; cozinhcira, 8$000 mensaes; as lavadeiras sao pagas por peca, a razao dc 24o réis a duzia (sem sabao). Os salarios sao pagos e os contractos cumpridos.","Qualidades-Ha muitas boas,'rcgulares c algumas inferiores; muitas misturadas e argillosas c algumas arenosas. Enm sua maioria planas, havendo algumas nontanhas e pedregosas. A vcgetacao é representada por muitas. capoeiras, cerrados, campos e alguns carrascaes. Precas -- O hectare de terra boa custa, approximadanente, 2$000, variando muito o preco conforme o logar.",Q transporte feito para o mercado local regula de 5co réis a 1$500 por carga de 16o litros.
Atalaia,A taxa é de I2 c 18 ao anno.,"Cccinheiras,de 6$000 a 12$000 mensaes; as lavadeiras ganhiam por peca; carpinteiro, de 2$000 a 3$500 diarios; administrador de fazenda, 50$000 mensaes; nao ha escrivaes de fazenda; nas uzinas ha guarda-livros; o salario do trabalhadlor rural, seja colono ou camarada é de 70o réis a 1$000 diarios. Os salarios sao pagos e os contractas cumpridos.","Qualidades -- No municipio predominam as terras boas e regulares, havendo tambem inferiores; sao argillosas e mais ou menos montanhosas e seccas, existindo tamben arenasas, misturadas, pedregosas e pantanosas. A vegetacao é rcpresentada por poucas nattas virgens, alguuas capoeiras e poucos cerrados e campos. Precos-Un hectare de terra boa custa approximadamente,80$000 a10osooo.","Pagau 1$000 pelo transporte de 16o litros de cereaes para o mercado lccal; por kilo de assucar para Jaragua, pagam 7,2 reis ; e por litro de cereal. 5.9 reis."
Bello Monte,24ao anmo.,"Cozinheira, 6$000 a 8$000 mensaes; carpinteiros, 2$000 por dia; trabalhador rural,1$000diari0s; lavadeira.6o réis pela duzia de pecas de roupa lavadla. Nao ha escrivaes, nem adminis- tradores de fazendla. Os salarios sao pagos e os contractos cunpridos.","Qualidades-No geral boas c regulares, havendo poucas infe riores. Em grande parte pedegrosas; ha boa. parte de terras misturadas e algunas arenosas e argillosas. A vegetacao é repre- presentada por muitas capoeiras e campos e alguns cerrados e carrascaes. Precos-Variam segundo a qualidade das terras.","Cada sacco de cereal paga de transporte fluvial, para Penedo, 200 réis."
Coruripe,A taxa é de 18 a 24 ao anno.,".Trabalhador rural,7oo réis.a 1$000 diarios; administrador de fazenda,500$000 a 800$000 annuaes; nao ha escrivaes de fazenda; carpinteiro, 2$000 a 3$000 diarios; cozinheiro, 15$000 a 20$000 mensaes; lavadeiras ganham por peca. Os salarios sao pagos e os contractos cumpridos.","qualidades - Böas e argillosas em sua maior parte; ha algumas regu lares e poucas inferiores. Sao arenosas nos taboleiros. A sua maior parte e plana e menor parte montanhosa. A vegetaqao é repre- sentada por poucas nattas virgens, muitas capoeiras, cerrados, car- rascaes_e_campos. Precos - Variaveis com os logares, quantidade e qualidade das terras.","Por uma carga de 12o a 14o litros para o nrercado local pagam de 50o a 3$000, conforme a distancia."
Euclydes Malta (actualmente Parahyba),18aoanno.,"Trabalhador rural 6co réis diarios: nao ha cozinhcircs; as lavadeiras cobram por peca; carpinteiro, 2$000 a 3$000 diarios; admnistratlor de fazenda, de 600$000 a 1:000$000 annuacs: adninistrador de fazenda de criar ou vaqueiro, de 360$000 a 480$000 annuaes, tendo mais 2$000 na ega dc cada rez,para o acougue; nao ha escrivaes de fazenda. Os salarios sao pagos c os contractos cumpridos.","Qualidades --Em sua maioria regulares, argillosas ou misturadas e planas, havendo.em menor. nunero bóas, inferiores e arenosas. A vegetacao é representada por muitas mattas virgens, c caoeiras, alguns cerrados, carrascaes e campos. Precos-Um hectare de terra boa custa de 80$000 a 100$000 mais ou_menos.","Para o mercado local o prccc é muito varavel; para o dc Macei6 é o seguinte: assucar, 2oo réis por 1o kilos; cercaes, 63 reis por 10 kilo=."
Junqueiro,"24"""", ao anno.","Trabalhador rural, 8oo réis a 1$000. por dia. Nao ha administradores de fazenda; estas sao administradas por vaquciros que tem interesse na produccao do gado, representado par uma certa porcentagem ou percebem 25$000 mensaes. Um carpinteiro, 2$000 a 3$000,por dia; cozinhcira,1osooo mensacs; lavadcira 8$000 mensaes ou por peca. Os salarios sao pagos e os contractos cunmpridos.","C Qualidades--As terras do municipio sao de qualidades diversas. Em geral argillosas e boas e regulares nas encostas dos norros; arenosas e inferiores nts planaltos; grande parte do municipio é montanhoso na serra do Junqueiro e suas ramificaqes. Inferiores nos'planaltos e chapadas. 1I4 12R3 nos planaltos e chapadas.Ha terras pedrcgosas; e misturadas em grande quantidade.Existem alguns campos. Ha poucas mattas virgens. Precos -Una böa propriedade com meia legua quadrada, póde-se adquirir com 20 :000$000 ou 50 :000$000, mais ou menos.","O litro de cercaes para Penedo, paga 33 réis de frete."
Leopoldina,A taxa mais geral é de 24 a 36° ao anno.,"Umi trabalhador rural ganha de 8oo réis a 1$000 por dia; cosinheiro, 12$000 mensaes ; lavadeiia, 3$000 ; carpinteiro, 3$000 por dia; administrador de fazenda, de 60$000 a 100$000 mensaes; nao ha escrivaes de fazendas. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Na maioriasacboaseregulares, misturadas e. geralmente montanhosas. Existem algumas mattas virgens, capoeiras, poucos cerrados c campos. Precos-E' muito variavel o preco. (Vide a nota).","Para o mercado local custa de 5oo réis a 2$000 por carga; para os portos de cmbarque, de 2$500 a 4$000, por carga de 150 kilos."
Limoeiro,A. taxa é de 24 por cento ao anno.,"Trabalhador rural, 50o réis a 1$000 por dia; nao ha adminis tradores nem escrivaes de fazenda ; carpinteiro, 3$000 diarios ; cozi- nheira, 8$000 mensaes; as lavadeiras sao pagas por peca a razao de 24o réis a duzia. Os salarios.sao pagos e os contractos cumpridlos.","Qualidades-No geral boas, havendo algumas inferiores; ha argillosas e muitas arenosas. Existem tamben muitas terras planas, algumas misturadas, inontanhosas e pedregosas. Possue capoeiras, cerrados, carrrascaes e campos. Nao ha mattas virgens nem pantanos. Precos - Um hectare de terra póde custar 20$000 imais ou menos.","Para as feiras do municipio uma carga de 16o litros custa 1$000 a 3$000, conforme a distancia ; para fóra póde custar de 4$000 a1osooo."
